City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Polovinnoye,RU,54.7914,65.9864,89.92,20,14,14.61,few clouds
312,Smithers,CA,54.7804,-127.1743,41.0,100,75,3.44,light rain
313,Kerman,IR,30.2832,57.0788,84.2,15,40,9.22,scattered clouds
314,Severo-Kurilsk,RU,50.6789,156.125,38.73,98,96,1.95,overcast clouds
315,Sokoni,TZ,-6.4333,39.55,86.0,62,75,11.5,light rain
316,Poya,NC,-21.35,165.15,73.24,78,45,8.28,scattered clouds
317,Lorengau,PG,-2.0226,147.2712,81.54,78,67,8.08,moderate rain
318,Sambava,MG,-14.2667,50.1667,82.13,59,38,12.91,scattered clouds
319,Barcelos,PT,41.5388,-8.6151,64.99,59,20,5.75,few clouds
320,Eirunepe,BR,-6.6603,-69.8736,71.37,98,99,1.57,overcast clouds
321,Norman Wells,CA,65.282,-126.8329,39.2,70,75,8.05,broken clouds
322,Gao,ML,16.6362,1.637,103.42,13,11,9.64,few clouds
323,Sisimiut,GL,66.9395,-53.6735,35.38,63,63,4.34,broken clouds
324,Bonnyville,CA,54.2668,-110.735,57.2,62,75,8.05,broken clouds
325,Boyabat,TR,41.4689,34.7667,69.8,52,75,12.66,light rain
326,Arroyo,ES,41.6096,-4.7969,62.01,51,0,4.61,clear sky
327,Yar-Sale,RU,66.8333,70.8333,33.08,90,56,12.66,broken clouds
328,Sainte-Maxime,FR,43.3,6.6333,73.0,39,88,18.41,overcast clouds
329,Dalvik,IS,65.9702,-18.5286,37.4,65,75,13.8,broken clouds
330,Kyra,RU,49.5776,111.9753,58.75,51,96,19.62,overcast clouds
331,Gimli,CA,50.6336,-96.9907,51.8,62,97,4.61,overcast clouds
332,Sarmellek,HU,46.7122,17.1687,55.4,76,0,16.11,clear sky
333,Pangody,RU,65.85,74.4859,45.97,40,100,6.46,overcast clouds
334,Takoradi,GH,4.8845,-1.7554,85.21,67,90,7.25,overcast clouds
335,Peace River,CA,56.2501,-117.286,51.8,50,75,16.11,broken clouds
