City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Panama City,PA,80.01,overcast clouds,8.9936,-79.5197,Hotel Riande Granada Urban
536,Hobyo,SO,87.8,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
541,Benguela,AO,88.57,clear sky,-12.5763,13.4055,Hotel Praia Morena
545,Beloha,MG,86.56,clear sky,-25.1667,45.05,
546,Mogadishu,SO,86.0,scattered clouds,2.0371,45.3438,Hotel Juba
549,Mangrol,IN,85.17,heavy intensity rain,21.1167,70.1167,Hotel The Royal Honours
551,Dawei,MM,89.15,overcast clouds,14.0833,98.2,Hotel Dawei
558,Komsomolskiy,UZ,87.8,clear sky,40.4272,71.7189,Ikathouse
560,Kintampo,GH,87.82,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
562,Tari,NG,95.76,scattered clouds,12.4086,4.4914,
566,Bontang,ID,82.29,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
567,Camabatela,AO,81.12,broken clouds,-8.1881,15.375,Pensão E Restaurantes
573,Rafsanjan,IR,86.18,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
574,Ushtobe,KZ,81.1,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
575,Sawakin,SD,97.05,clear sky,19.1059,37.3321,فندق الدويم
581,Zainsk,RU,89.6,clear sky,55.3195,52.0694,Дельфин
584,Manadhoo,MV,85.1,few clouds,5.7667,73.3833,Vevu Guesthouse
587,Zuenoula,CI,87.39,broken clouds,7.4292,-6.0431,Hotel Prestige Zla
589,Le Port,RE,81.0,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
592,Morondava,MG,80.71,clear sky,-20.2833,44.2833,La Case Bambou
594,Dhidhdhoo,MV,85.26,clear sky,6.8833,73.1,Dhidhoo beach
600,Atar,MR,87.8,broken clouds,20.5169,-13.0499,Oumou Elghoura
601,Sabang,ID,83.88,overcast clouds,5.8933,95.3214,Hotel Citra
607,Hwange,ZW,88.23,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
611,Farafangana,MG,80.33,clear sky,-22.8167,47.8333,Miarina
619,Bandarbeyla,SO,93.51,broken clouds,9.4942,50.8122,JABIR HOTEL
623,Luau,AO,81.16,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
626,Luwero,UG,84.78,broken clouds,0.8492,32.4731,Forgettable
627,Tsogni,GA,83.19,light rain,-2.7942,10.0988,
634,Qui Nhon,VN,86.05,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
636,Conakry,GN,82.4,few clouds,9.538,-13.6773,Riviera Royal Hotel
640,Namibe,AO,84.2,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
641,Ugoofaaru,MV,84.85,clear sky,5.6667,73.0,Ungoofaaru Inn
642,Sabya,SA,96.8,clear sky,17.1495,42.6254,Aseel Hotel Apartment
648,Vanimo,PG,81.3,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
650,Quelimane,MZ,87.8,clear sky,-17.8786,36.8883,Hotel Flamingo
652,Kpandae,GH,89.58,broken clouds,8.4689,-0.0113,S. Amaski Guest House
653,Adrar,MR,95.59,overcast clouds,20.5022,-10.0711,
655,Lodja,CD,87.8,overcast clouds,-3.4833,23.4333,
657,Gari,RU,81.12,broken clouds,59.4307,62.3497,
662,Acapulco,MX,81.12,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
664,Belinskiy,RU,81.68,broken clouds,52.9647,43.4165,
669,Ginda,IN,82.38,scattered clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
672,Aitape,PG,80.51,overcast clouds,-3.1374,142.3475,
