City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Praxedis Guerrero,MX,2021-05-12 04:55:41,31.3667,-106.0167,77.0,8,1,7.54
170,Ouallam,NE,2021-05-12 04:55:42,14.3188,2.0866,87.89,25,47,7.14
171,Doka,SD,2021-05-12 04:55:42,13.5167,35.7667,77.92,62,99,11.23
172,Quibdo,CO,2021-05-12 04:54:10,5.6947,-76.6611,74.89,98,100,1.68
173,Umm Kaddadah,SD,2021-05-12 04:55:43,13.6017,26.6876,80.83,50,8,9.69
174,Waipawa,NZ,2021-05-12 04:55:44,-41.4122,175.5153,51.8,76,75,25.32
175,Sao Joao Da Barra,BR,2021-05-12 04:55:44,-21.6403,-41.0511,67.91,82,5,8.63
176,Sao Felix Do Xingu,BR,2021-05-12 04:55:44,-6.6447,-51.995,69.89,97,72,1.21
177,Cape Town,ZA,2021-05-12 04:52:52,-33.9258,18.4232,55.99,93,75,2.3
178,Bethel,US,2021-05-12 04:55:45,41.3712,-73.414,48.2,46,1,3.44
179,Kaohsiung,TW,2021-05-12 04:55:45,22.6163,120.3133,91.4,49,40,16.11
180,Havre-Saint-Pierre,CA,2021-05-12 04:55:46,50.2334,-63.5986,39.2,81,75,6.91
181,Opuwo,NA,2021-05-12 04:55:46,-18.0607,13.84,58.44,32,0,7.47
182,Rancho Palos Verdes,US,2021-05-12 04:55:47,33.7445,-118.387,62.01,89,53,3.0
183,Pisco,PE,2021-05-12 04:55:47,-13.7,-76.2167,64.4,82,20,2.3
184,Asekeyevo,RU,2021-05-12 04:55:48,53.5742,52.7972,70.14,46,99,6.53
185,High Level,CA,2021-05-12 04:55:48,58.5169,-117.136,51.8,54,20,5.75
186,Urumqi,CN,2021-05-12 04:55:48,43.801,87.6005,69.8,37,0,6.71
187,Nanortalik,GL,2021-05-12 04:55:49,60.1432,-45.2371,39.52,67,98,5.06
188,Chokurdakh,RU,2021-05-12 04:55:49,70.6333,147.9167,27.43,82,100,4.79
189,Eydhafushi,MV,2021-05-12 04:55:50,5.1033,73.0708,78.8,94,100,23.22
190,Praia,CV,2021-05-12 04:55:50,14.9215,-23.5087,73.4,73,20,17.27
191,Masterton,NZ,2021-05-12 04:55:51,-40.9597,175.6575,53.01,71,100,3.0
192,Sao Filipe,CV,2021-05-12 04:55:52,14.8961,-24.4956,74.66,70,26,10.02
193,Lagoa,PT,2021-05-12 04:55:52,39.05,-27.9833,60.75,83,13,14.25
194,Malinovka,BY,2021-05-12 04:55:53,53.8579,27.4374,57.2,72,0,11.18
195,Zhangjiakou,CN,2021-05-12 04:55:53,40.81,114.8794,70.39,26,94,7.7
196,Padang,ID,2021-05-12 04:55:54,-0.9492,100.3543,78.8,94,75,2.3
197,Launceston,AU,2021-05-12 04:52:57,-41.45,147.1667,55.99,66,90,3.44
198,Poum,NC,2021-05-12 04:55:55,-20.2333,164.0167,79.27,77,100,14.32
199,Ojinaga,MX,2021-05-12 04:55:55,29.5667,-104.4167,77.0,50,1,20.71
200,Hermosillo,MX,2021-05-12 04:55:55,29.0667,-110.9667,82.0,22,1,3.44
201,Souillac,MU,2021-05-12 04:55:56,-20.5167,57.5167,73.4,88,20,9.95
202,Alofi,NU,2021-05-12 04:55:57,-19.0595,-169.9187,75.2,88,75,14.97
203,Salalah,OM,2021-05-12 04:55:57,17.0151,54.0924,86.0,70,75,5.86
204,Pangoa,PE,2021-05-12 04:55:57,-12.1167,-73.0,66.07,96,19,3.18
205,Hoyanger,NO,2021-05-12 04:55:58,61.2204,6.0749,45.0,76,0,1.14
206,Blackfoot,US,2021-05-12 04:54:01,43.1905,-112.345,48.99,53,66,3.0
207,Te Anau,NZ,2021-05-12 04:55:58,-45.4167,167.7167,42.75,73,1,2.33
208,Luau,AO,2021-05-12 04:55:59,-10.7073,22.2247,56.64,73,2,4.05
209,Miri,MY,2021-05-12 04:55:59,4.4148,114.0089,89.6,70,40,8.05
210,Mbanza-Ngungu,CD,2021-05-12 04:56:00,-5.25,14.8667,66.24,94,0,2.68
